Company Name,Link,Region,Address,Street,Location,ZipCode,City
Foresightee,http://www.foresightee.com,Flanders,"TOWN HOUSE, Kaunda St, Nairobi, Kenia",TOWN HOUSE,"Kaunda St, Nairobi, Kenia",Kaunda,"St, Nairobi, Kenia"
Hyler,http://www.hyler.be/,Flanders,"Vijvedreef 54, 8710 Wielsbeke",Vijvedreef 54,8710 Wielsbeke,8710,Wielsbeke
IPBuilding,https://www.ipbuilding.be/,Flanders,"Ninovesteenweg 196, 9320 Aalst",Ninovesteenweg 196,9320 Aalst,9320,Aalst
LAMMP,https://lammp.be/,Flanders,"Mechelsesteenweg 271/bus 2.1, 2018 Antwerpen",Mechelsesteenweg 271/bus 2.1,2018 Antwerpen,2018,Antwerpen
Memoco,https://memoco.eu/,Wallonia,"Rue de Rodeuhaie 6, 1348 Ottignies-Louvain-la-Neuve",Rue de Rodeuhaie 6,1348 Ottignies-Louvain-la-Neuve,1348,Ottignies-Louvain-la-Neuve
Opinum,https://www.opinum.com/fr,Wallonia,"Rue Emile Francqui 9, 1435 Mont-Saint-Guibert",Rue Emile Francqui 9,1435 Mont-Saint-Guibert,1435,Mont-Saint-Guibert
Otrema,http://www.otrema.eu,Brussels,"Römerstraße 323, 47178 Duisburg, Duitsland",Römerstraße 323,"47178 Duisburg, Duitsland",47178,"Duisburg, Duitsland"
SoundTalks,http://www.soundtalks.be,Flanders,"Interleuvenlaan 15 C, 3001 Leuven",Interleuvenlaan 15 C,3001 Leuven,3001,Leuven
Strategic Water,http://strategicwater.be,Flanders,"Gaston Crommenlaan 8, 9050 Gent",Gaston Crommenlaan 8,9050 Gent,9050,Gent
Sumaqua,http://www.sumaqua.be,Flanders,"Sluisstraat 79 b3.01, 3000 Leuven",Sluisstraat 79 b3.01,3000 Leuven,3000,Leuven
The Kobi Company,http://thekobi.com,Flanders,"Ambachtenlaan 7C, 3001 Leuven",Ambachtenlaan 7C,3001 Leuven,3001,Leuven
Toadi,http://www.toadi.com,Flanders,"Eugène Bekaertlaan 61, 8790 Waregem",Eugène Bekaertlaan 61,8790 Waregem,8790,Waregem
WeSmart,http://www.wesmart.com,Brussels,"Dieudonné Lefèvrestraat 17, 1020 Brussel",Dieudonné Lefèvrestraat 17,1020 Brussel,1020,Brussel
ACM,https://www.acmonline.eu/login.php,Wallonia,"Via dell'Industria, 17, 35020 Arzergrande PD, Italië",Via dell'Industria,"17, 35020 Arzergrande PD, Italië","17,","35020 Arzergrande PD, Italië"
Aividens,http://www.aividens.com,Brussels,"Vrijwilligerslaan 19, 1160 Oudergem",Vrijwilligerslaan 19,1160 Oudergem,1160,Oudergem
Automated Analytics,http://automatedanalytics.eu,Flanders,"Frans de Cortlaan 3/bus 1, 2610 Antwerpen",Frans de Cortlaan 3/bus 1,2610 Antwerpen,2610,Antwerpen
Booqee,http://www.booqee.com,Brussels,"Gentbrugge kouter 5, 9050 Gent",Gentbrugge kouter 5,9050 Gent,9050,Gent
CashForce,http://www.discover-edge.com,Flanders,"Diamantstraat, 2018 Antwerpen",Diamantstraat,2018 Antwerpen,2018,Antwerpen
Complidata,http://complidata.io,Flanders,"Rue de Jargonnant 2, 1207 Genève, Zwitserland",Rue de Jargonnant 2,"1207 Genève, Zwitserland",1207,"Genève, Zwitserland"
Contract.fit,http://contract.fit,Flanders,"Rue des Poissonniers 13, 1000 Brussels",Rue des Poissonniers 13,1000 Brussels,1000,Brussels
DeJuristen,https://dejuristen.be/?lang=fr,Flanders,"Heernislaan 19, 9000 Gent",Heernislaan 19,9000 Gent,9000,Gent
Docbyte,https://www.docbyte.com/,Flanders,"Kortrijksesteenweg 1144B, 9051 Gent",Kortrijksesteenweg 1144B,9051 Gent,9051,Gent
Edebex,http://edebex.com,Brussels,"Jules Cockx Straat 8-10 box 2, 1160 Brussels",Jules Cockx Straat 8-10 box 2,1160 Brussels,1160,Brussels
EisphorIA,http://www.eisphoria.com,Brussels,"Rue Van Hammée 41, 1030 Brussels",Rue Van Hammée 41,1030 Brussels,1030,Brussels
Features Analytics,http://www.features-analytics.com,Wallonia,"Rue de Charleroi 2, 1400 Nivelles",Rue de Charleroi 2,1400 Nivelles,1400,Nivelles
Horus Software,https://horussoftware.be/fr/,Wallonia,"Quai des Ardennes 9, 4020 Liège",Quai des Ardennes 9,4020 Liège,4020,Liège
Infinity Mobile,http://infinity-mobile.io,Flanders,"Hoogstraat 29, 9850 Deinze",Hoogstraat 29,9850 Deinze,9850,Deinze
InvestSuite,http://www.investsuite.eu,Flanders,"Sluisstraat 79, 3000 Leuven",Sluisstraat 79,3000 Leuven,3000,Leuven
Keyrock,http://keyrock.eu,Brussels,"Louizalaan 251, 1000 Brussel",Louizalaan 251,1000 Brussel,1000,Brussel
Lawrenza,https://lawrenza.com/,Brussels,"Chau. de Lasne 5A, 1330 Rixensart",Chau. de Lasne 5A,1330 Rixensart,1330,Rixensart
Lex.be,http://lex.be,Brussels,"Witte Patersstraat 4, 1040 Etterbeek",Witte Patersstraat 4,1040 Etterbeek,1040,Etterbeek
Ludebo,https://www.sec-dpo.com/,Wallonia,"Willebroekkaai 38, 1000 Brussel",Willebroekkaai 38,1000 Brussel,1000,Brussel
NGData,http://www.lilyproject.org,Flanders,"bus 10, Sluisweg 2, 9000 Gent",bus 10,"Sluisweg 2, 9000 Gent",Sluisweg,"2, 9000 Gent"
RiskConcile,http://www.riskconcile.com,Flanders,"Kapeldreef 60, 3001 Leuven",Kapeldreef 60,3001 Leuven,3001,Leuven
Vadis Tech.,http://www.vadis.com,Brussels,"Tervurenlaan 270, 1150 Brussel",Tervurenlaan 270,1150 Brussel,1150,Brussel
WeGroup,http://www.wegroup.be,Flanders,"Moutstraat 68, 9000 Gent",Moutstraat 68,9000 Gent,9000,Gent
Yields,http://yields.io,Brussels,"Wolstraat 68, 1000 Brussel",Wolstraat 68,1000 Brussel,1000,Brussel
ActiveMe,http://activeme.be,Wallonia,"Rue Granbonpré 11 Building E (1st Floor, 1348",Rue Granbonpré 11 Building E (1st Floor,1348,1348,
AI Blackbelt,https://www.aiblackbelt.com/,Brussels,"Kantersteen 10, 1000 Brussel",Kantersteen 10,1000 Brussel,1000,Brussel
ammco,https://ammco.be/en/,Flanders,"Aarschotsesteenweg 147, 3111 Rotselaar",Aarschotsesteenweg 147,3111 Rotselaar,3111,Rotselaar
Be Central,http://becentral.org/,Brussels,"Kantersteen 10/12, 1000 Brussel",Kantersteen 10/12,1000 Brussel,1000,Brussel
CitizenLab,http://citizenlab.co,Flanders,"Pachecolaan 34, 1000 Brussel",Pachecolaan 34,1000 Brussel,1000,Brussel
Comproved,https://comproved.com/,Flanders,"Boshovestraat 100, 2100 Antwerpen",Boshovestraat 100,2100 Antwerpen,2100,Antwerpen
Cytomine,http://www.cytomine.be,Wallonia,"Quai Banning 6, 4000 Liège",Quai Banning 6,4000 Liège,4000,Liège
Dalberg Data Insights,http://www.dalberg.com,Brussels,"Avenue Louise 523, 1050 Ixelles",Avenue Louise 523,1050 Ixelles,1050,Ixelles
Datacamp,http://www.datamind.org,Flanders,"Martelarenlaan 38, 3010 Leuven",Martelarenlaan 38,3010 Leuven,3010,Leuven
Dwengo,https://dwengo.org/,Flanders,"Marcel Thirylaan 194, 1200 Brussels",Marcel Thirylaan 194,1200 Brussels,1200,Brussels
Hovertone,https://www.hovertone.com/,Wallonia,"Rue des Soeurs Noires 4, 7000 Mons",Rue des Soeurs Noires 4,7000 Mons,7000,Mons
Knowliah,http://www.knowliah.com/,Flanders,"Leuvensesteenweg 282, 3190 Boortmeerbeek",Leuvensesteenweg 282,3190 Boortmeerbeek,3190,Boortmeerbeek
La Scientotheque,https://lascientotheque.be/,Brussels,"Expérimentarium de Physique de l'ULB, CP238, Triomflaan, 1050 Brussel",Expérimentarium de Physique de l'ULB,"CP238, Triomflaan, 1050 Brussel","CP238,","Triomflaan, 1050 Brussel"
Look,http://www.look-app.net,Wallonia,"Av. Reine Astrid 92, 1310 La Hulpe",Av. Reine Astrid 92,1310 La Hulpe,1310,La Hulpe
Molengeek,https://molengeek.com,Brussels,"Pl. de la Minoterie 10, 1080 Molenbeek-Saint-Jean",Pl. de la Minoterie 10,1080 Molenbeek-Saint-Jean,1080,Molenbeek-Saint-Jean
Musimap,http://www.musimap.com,Wallonia,"Vrijwilligerslaan 19, 1160 Oudergem",Vrijwilligerslaan 19,1160 Oudergem,1160,Oudergem
Numeria,http://numeria.be/,Wallonia,"Parc des Bellevues - Eragny Parc 5 allée Rosa Luxembourg, 95610 Éragny, Frankrijk",Parc des Bellevues - Eragny Parc 5 allée Rosa Luxembourg,"95610 Éragny, Frankrijk",95610,"Éragny, Frankrijk"
OPSORO,http://www.opsoro.be,Flanders,"De Krook Platteberg 11, 9000 Gent",De Krook Platteberg 11,9000 Gent,9000,Gent
Scriptbook,http://scriptbook.io,Flanders,"Gasstraat  37/8, 9160 Lokeren",Gasstraat  37/8,9160 Lokeren,9160,Lokeren
Aloxy,https://www.aloxy.io/,Flanders,"Sint-Pietersvliet 7, 2000 Antwerpen",Sint-Pietersvliet 7,2000 Antwerpen,2000,Antwerpen
AMIA Systems,http://www.amia-systems.com,Brussels,"Greenbizz, Dieudonné Lefèvrestraat 17, 1020 Brussel",Greenbizz,"Dieudonné Lefèvrestraat 17, 1020 Brussel",Dieudonné,"Lefèvrestraat 17, 1020 Brussel"
Arkite,https://arkite.com/,Flanders,"C-Mine 12, 3600 Genk",C-Mine 12,3600 Genk,3600,Genk
Azumuta,https://www.azumuta.com/,Flanders,"Technologiepark-Zwijnaarde 122, 9052 Gent",Technologiepark-Zwijnaarde 122,9052 Gent,9052,Gent
Deltaray,https://deltaray.eu/,Flanders,"Schaliënhoefdreef 20T, 2970 Antwerpen",Schaliënhoefdreef 20T,2970 Antwerpen,2970,Antwerpen
Diabatix,http://diabatix.com,Flanders,"Technologielaan 11, 3001 Leuven",Technologielaan 11,3001 Leuven,3001,Leuven
epic blue,http://www.epic.blue,Flanders,"Asstraat 5, 3000 Leuven",Asstraat 5,3000 Leuven,3000,Leuven
Factry,http://www.factry.io,Brussels,"Oktrooiplein 1, 9000 Gent",Oktrooiplein 1,9000 Gent,9000,Gent
Flexible Robotic Solutions,http://www.frsrobotics.com,Flanders,"Kapeldreef 60, 3001 Leuven",Kapeldreef 60,3001 Leuven,3001,Leuven
i-Care,https://www.icareweb.com/fr-be/,Wallonia,"27 Castle St, Canterbury CT1 2PX, Verenigd Koninkrijk",27 Castle St,"Canterbury CT1 2PX, Verenigd Koninkrijk",Canterbury,"CT1 2PX, Verenigd Koninkrijk"
Inimco,https://inimco.com/,Flanders,"Frankrijkstraat 11/k5, 9140 Temse",Frankrijkstraat 11/k5,9140 Temse,9140,Temse
Iqunet,http://iqunet.com,Flanders,"Broekstraat 82, 9220 Hamme",Broekstraat 82,9220 Hamme,9220,Hamme
Magics Instruments,http://www.magics.tech,Flanders,"Cipalstraat 3, 2440 Geel",Cipalstraat 3,2440 Geel,2440,Geel
Metheore,http://metheore.be/,Wallonia,"Rue du Bois Saint-Jean 15/1, 4102 Seraing",Rue du Bois Saint-Jean 15/1,4102 Seraing,4102,Seraing
MH Automation,http://www.armin-robot.com,Wallonia,"Rue d'Houdeng 224, 7070 Le Rœulx",Rue d'Houdeng 224,7070 Le Rœulx,7070,Le Rœulx
Movanis,http://www.movanis.be/,Flanders,"Movanis, Mijnwerkerslaan 14, 3550 Heusden-Zolder",Movanis,"Mijnwerkerslaan 14, 3550 Heusden-Zolder",Mijnwerkerslaan,"14, 3550 Heusden-Zolder"
PEPITe,https://www.pepite.com/,Wallonia,"Forgeur 4/1, 4000 Liège",Forgeur 4/1,4000 Liège,4000,Liège
Pick-it,http://www.pickit3d.com,Flanders,"Gaston Geenslaan 9, 3001 Oud-Heverlee",Gaston Geenslaan 9,3001 Oud-Heverlee,3001,Oud-Heverlee
SCM Revamp,http://www.scmrevamp.com,Wallonia,"Clos St Feuillien 5, 7070 Le Rœulx",Clos St Feuillien 5,7070 Le Rœulx,7070,Le Rœulx
Sirris,http://www.sirris.be,Wallonia,Bd A. Reyerslaan 80 - 1030 Brussels,Bd A. Reyerslaan 80 - 1030 Brussels,None,None,
Sitemark,https://www.sitemark.com,Flanders,"Gaston Geenslaan 9, 3001 Leuven",Gaston Geenslaan 9,3001 Leuven,3001,Leuven
Sitemark,http:// https://www.smartnodes.be/,Wallonia,"Val Benoit, Bât. Génie Civil, Quai Banning 6, 4000 Liège",Val Benoit,"Bât. Génie Civil, Quai Banning 6, 4000 Liège",Bât.,"Génie Civil, Quai Banning 6, 4000 Liège"
Solvice,http://www.solvice.io,Flanders,"Vlasgaardstraat 52, 9000 Gent",Vlasgaardstraat 52,9000 Gent,9000,Gent
The Grain,https://www.thegrain.pro/,Flanders,"Sint-Pietersvliet 7, 2000 Antwerpen",Sint-Pietersvliet 7,2000 Antwerpen,2000,Antwerpen
ThePickPath,http://thepickpath.com,Wallonia,"Place Arthur Maquet 2, 4263 Braives",Place Arthur Maquet 2,4263 Braives,4263,Braives
Tractonomy,http://www.tractonomy.com,Flanders,"Nelson Mandelaplein 2, 8500 Kortrijk",Nelson Mandelaplein 2,8500 Kortrijk,8500,Kortrijk
Trendminer,https://www.trendminer.com,Flanders,"Kempische Steenweg 309/5, 3500 Hasselt",Kempische Steenweg 309/5,3500 Hasselt,3500,Hasselt
Tusk IC,http://www.tusk-ic.com,Flanders,"Cuperusstraat 5, 2018 Antwerpen",Cuperusstraat 5,2018 Antwerpen,2018,Antwerpen
urbantz,http://www.urbantz.com,Brussels,"Louizalaan 251, 1000 Brussel",Louizalaan 251,1000 Brussel,1000,Brussel
VoxelSensors,https://www.voxelsensors.com/,Brussels,"Rue Pierre Decoster 96 / 1, 1190 Forest",Rue Pierre Decoster 96 / 1,1190 Forest,1190,Forest
Yazzoom,http://www.yazzoom.com,Flanders,"Derbystraat 65/building A, 9051 Gent",Derbystraat 65/building A,9051 Gent,9051,Gent
Zensor,http://www.zensor.be,Brussels,"Witte Patersstraat 4, 1040 Etterbeek",Witte Patersstraat 4,1040 Etterbeek,1040,Etterbeek
Airshaper,http://www.airshaper.com,Flanders,"Kreeftstraat 20, 2018 Antwerp",Kreeftstraat 20,2018 Antwerp,2018,Antwerp
Conundra,http://www.conundra.eu,Flanders,"Voordries 41, 9860 Oosterzele",Voordries 41,9860 Oosterzele,9860,Oosterzele
Dropon,http://dropon.io,Flanders,"Oktrooiplein 1/bus 201, 9000 Gent",Oktrooiplein 1/bus 201,9000 Gent,9000,Gent
eXia,https://www.exia.eu/site/,Brussels,"Pleinlaan 2, 1050 Brussels",Pleinlaan 2,1050 Brussels,1050,Brussels
Ivex,http://www.ivex.ai,Flanders,"Kapeldreef 60, 3001 Leuven",Kapeldreef 60,3001 Leuven,3001,Leuven
Jeasy,http://jeasy.ai,Brussels,"De Broquevillelaan 12, 1150 Brussel",De Broquevillelaan 12,1150 Brussel,1150,Brussel
Mabo E&A,http://www.agv-automation.com,Flanders,"Mallekotstraat 43a, 2500 Lier",Mallekotstraat 43a,2500 Lier,2500,Lier
Motulus,https://motulus.com/,Flanders,"Antwerpse Steenweg 61, 2660 Antwerpen",Antwerpse Steenweg 61,2660 Antwerpen,2660,Antwerpen
Movetex,http://movetex.be,Flanders,"Provincieweg 405, 9550 Herzele",Provincieweg 405,9550 Herzele,9550,Herzele
OTIV,http://www.otiv.ai,Flanders,"Vijfwindgatenstraat 21 E, 9000 Gent",Vijfwindgatenstraat 21 E,9000 Gent,9000,Gent
railnova,https://www.railnova.eu,Brussels,"Emile Feronstraat 153, 1060 Brussel",Emile Feronstraat 153,1060 Brussel,1060,Brussel
Sailsense,http://www.sailsense.io,Brussels,"Kantersteen 47, 1000 Brussel",Kantersteen 47,1000 Brussel,1000,Brussel
SEAFAR,http://www.seafar.eu,Flanders,"Sint-Pietersvliet 7, 2000 Antwerpen",Sint-Pietersvliet 7,2000 Antwerpen,2000,Antwerpen
Westray,http://www.westray.eu,Flanders,"Lange Lobroekstraat 41-45, 2060 Antwerp",Lange Lobroekstraat 41-45,2060 Antwerp,2060,Antwerp
XenomatiX,http://www.xenomatix.com,Flanders,"Research Park Haasrode, Romeinse straat 6, 3001 Leuven",Research Park Haasrode,"Romeinse straat 6, 3001 Leuven",Romeinse,"straat 6, 3001 Leuven"
Amoobi,https://www.amoobi.com/,Wallonia,"Rue de l'Industrie 20, 1400 Nivelles",Rue de l'Industrie 20,1400 Nivelles,1400,Nivelles
Calltic,http://www.calltic.com,Flanders,"Vijfwindgatenstraat 21, 9000 Gent",Vijfwindgatenstraat 21,9000 Gent,9000,Gent
Elymentz,http://www.elymentz.com,Brussels,"De Meeûssquare 38/40, 1000 Brussel",De Meeûssquare 38/40,1000 Brussel,1000,Brussel
Retailsonar,http://retailsonar.com,Flanders,"Ferdinand Lousbergskaai 103, 9000 Gent",Ferdinand Lousbergskaai 103,9000 Gent,9000,Gent
RetViews,http://retviews.com,Brussels,"Louizalaan 231, 1050 Brussel",Louizalaan 231,1050 Brussel,1050,Brussel
Riaktr,http://www.riaktr.com,Brussels,"Kapitein Crespelstraat 2/4, 1050 Elsene",Kapitein Crespelstraat 2/4,1050 Elsene,1050,Elsene
Shavatar,http://www.shavatar.me,Flanders,"Eerste Meistraat 75, 2845 Niel",Eerste Meistraat 75,2845 Niel,2845,Niel
The retail factory,https://theretailfactory.be,Flanders,"Meir 78, 2000 Antwerpen
 ",Meir 78,2000 Antwerpen,2000,Antwerpen
Treedy’s,http://treedys.com/,Brussels,"Avenue George Bergmann 117, 1050 Ixelles",Avenue George Bergmann 117,1050 Ixelles,1050,Ixelles
Adshot,http://adshot.io,Flanders,"S83, Somerset House, Strand, London WC2R 1LA, Verenigd Koninkrijk",S83,"Somerset House, Strand, London WC2R 1LA, Verenigd Koninkrijk",Somerset,"House, Strand, London WC2R 1LA, Verenigd Koninkrijk"
Araani,http://www.araani.com,Flanders,"Luipaardstraat 12, 8500 Kortrijk",Luipaardstraat 12,8500 Kortrijk,8500,Kortrijk
Depthen,https://www.depthen.com/fr/,Wallonia,"Bd Dolez 31, 7000 Mons",Bd Dolez 31,7000 Mons,7000,Mons
EyeSee,http://www.eyesee.be,Flanders,"Franklin Rooseveltlaan 349, 9000 Gent",Franklin Rooseveltlaan 349,9000 Gent,9000,Gent
Family-Eye,http://www.familyeye.be,Flanders,,nan,nan,nan,
Fielddrive,http://www.fielddrive.eu,Flanders,"Mechelsesteenweg 303, 2830 Willebroek",Mechelsesteenweg 303,2830 Willebroek,2830,Willebroek
Humainly,http://webmonks.vision,Flanders,"311, p.o. 1.02, Kempische Steenweg, 3500 Hasselt",311,"p.o. 1.02, Kempische Steenweg, 3500 Hasselt",p.o.,"1.02, Kempische Steenweg, 3500 Hasselt"
Kaspard,http://kaspard.com,Brussels,"Vorstlaan 36, 1170 Watermaal-Bosvoorde",Vorstlaan 36,1170 Watermaal-Bosvoorde,1170,Watermaal-Bosvoorde
Limecraft,https://www.limecraft.com/,Flanders,"Sint-Salvatorstraat 18b/301, 9000 Gent",Sint-Salvatorstraat 18b/301,9000 Gent,9000,Gent
Macty,http://macty.eu,Flanders,"Prof. R. Van Overstraetenplein 2, 3000 Leuven",Prof. R. Van Overstraetenplein 2,3000 Leuven,3000,Leuven
Mintt,https://mintt.care/,Wallonia,"Louizalaan 251, 1050 Brussel",Louizalaan 251,1050 Brussel,1050,Brussel
Phoenix AI,https://www.phoenix-ai.com/,Wallonia,"2, Rue du vent des noirs moineaux, 7600 Péruwelz",2,"Rue du vent des noirs moineaux, 7600 Péruwelz",Rue,"du vent des noirs moineaux, 7600 Péruwelz"
PixelVision,http://www.pixelvision.be,Flanders,"Kempische Steenweg 303/b23, 3500 Hasselt",Kempische Steenweg 303/b23,3500 Hasselt,3500,Hasselt
Piximate,http://www.piximate.net,Wallonia,"Av. Reine Astrid 92, 1310 La Hulpe",Av. Reine Astrid 92,1310 La Hulpe,1310,La Hulpe
Robovision,http://www.robovision.ai,Flanders,"Technologiepark-Zwijnaarde 80, 9052 Gent",Technologiepark-Zwijnaarde 80,9052 Gent,9052,Gent
SeeMe,http://seeme.ai,Flanders,"Leschot 28, 2440 Geel",Leschot 28,2440 Geel,2440,Geel
Segments.ai,http://segments.ai,Flanders,"Professor Roger Van Overstraetenplein 5, 3000 Leuven",Professor Roger Van Overstraetenplein 5,3000 Leuven,3000,Leuven
Sensifai,http://www.sensifai.com,Brussels,"Mechelsesteenweg 455, 1950 Kraainem, Belgium",Mechelsesteenweg 455,"1950 Kraainem, Belgium",1950,"Kraainem, Belgium"
VeriFlix,http://www.veriflix.ai/en/,Wallonia,"Av. Reine Astrid 92, 1310 La Hulpe",Av. Reine Astrid 92,1310 La Hulpe,1310,La Hulpe
ViBE,http://www.vibeinmotion.com,Wallonia,"Turnhoutsebaan 139a, 2140 Antwerpen",Turnhoutsebaan 139a,2140 Antwerpen,2140,Antwerpen
Vision++,http://www.visionplusplus.com,Flanders,"Interleuvenlaan 15 Building G, 3002",Interleuvenlaan 15 Building G,3002,3002,
3State,https://3state.eu/,Flanders,"Kanunnik de Deckerstraat 20a, 2800 Mechelen",Kanunnik de Deckerstraat 20a,2800 Mechelen,2800,Mechelen
Aerospacelab,http://www.aerospacelab.be/,Wallonia,"Rue André Dumont 9, 1435 Mont-Saint-Guibert",Rue André Dumont 9,1435 Mont-Saint-Guibert,1435,Mont-Saint-Guibert
Airobot,https://airobot.eu/,Flanders,"1090, Lichtenberglaan, 3800 Sint-Truiden",1090,"Lichtenberglaan, 3800 Sint-Truiden","Lichtenberglaan,",3800 Sint-Truiden
ALX systems,http://www.alxsys.com,Flanders,"Rue de la Résistance 26, 4681 Oupeye",Rue de la Résistance 26,4681 Oupeye,4681,Oupeye
CrowdScan,http://www.crowdscan.be/,Flanders,"Sint-Pietersvliet 7, 2000 Antwerpen",Sint-Pietersvliet 7,2000 Antwerpen,2000,Antwerpen
DeltaQ,http://www.deltaq.io,Brussels,"Antwerpselaan 40, 1000 Brussel",Antwerpselaan 40,1000 Brussel,1000,Brussel
Dronematrix,https://www.dronematrix.eu/,Flanders,"Herkenrodesingel 4 / 1, 3500 Hasselt",Herkenrodesingel 4 / 1,3500 Hasselt,3500,Hasselt
EASICS,https://www.easics.com/,Flanders,"Diestsevest 32/2B, 3000 Leuven",Diestsevest 32/2B,3000 Leuven,3000,Leuven
Edgise,http://www.edgise.com,Flanders,"Gaston Geenslaan 11/B4, 3001 Leuven",Gaston Geenslaan 11/B4,3001 Leuven,3001,Leuven
Geckomatics,http://www.geckomatics.com,Flanders,"Borsbeeksebrug 34, 2600 Antwerpen-Berchem",Borsbeeksebrug 34,2600 Antwerpen-Berchem,2600,Antwerpen-Berchem
Intermodalics,https://www.intermodalics.eu/,Flanders,"Gaston Geenslaan 9, 3001 Leuven",Gaston Geenslaan 9,3001 Leuven,3001,Leuven
IOOS,http://www.ioos.be,Flanders,"Donklaan 182, 9290 Berlare",Donklaan 182,9290 Berlare,9290,Berlare
March,http://www.letsmarch.be,Flanders,"Sluis 2D2 Boîte 3, 9810 Nazareth",Sluis 2D2 Boîte 3,9810 Nazareth,9810,Nazareth
Oscars,https://www.oscars-sa.eu/,Wallonia,"Place du Chapitre 16, 5300 Andenne",Place du Chapitre 16,5300 Andenne,5300,Andenne
Raymon,http://raymon.ai,Flanders,,nan,nan,nan,
Rockestate,http://www.rockestate.be,Brussels,"Witte Patersstraat 4, 1040 Etterbeek",Witte Patersstraat 4,1040 Etterbeek,1040,Etterbeek
SpacePal,http://spacepal.eu,Flanders,"Bijkhoevelaan 32c, 2110 Wijnegem",Bijkhoevelaan 32c,2110 Wijnegem,2110,Wijnegem
Uware Tech.,http://uware.io,Brussels,"de Perckestraat 127, 1180 Brussel",de Perckestraat 127,1180 Brussel,1180,Brussel
Bothive,http://bothive.be,Flanders,"Coupure Rechts 620, 9000 Gent",Coupure Rechts 620,9000 Gent,9000,Gent
BOTWISER,http://botwiser.com,Brussels,"Rue fossé aux Loups 11, 1000 Brussels",Rue fossé aux Loups 11,1000 Brussels,1000,Brussels
Chatbot Plus,http://chatbot-plus.com,Brussels,"Leuvensesteenweg 775, 1140 Brussel",Leuvensesteenweg 775,1140 Brussel,1140,Brussel
Chatlayer,https://chatlayer.ai/,Flanders,"Ankerrui 9, 2000 Antwerpen",Ankerrui 9,2000 Antwerpen,2000,Antwerpen
Clever,http://clever.be,Flanders,"Foreestelaan 1, Ghent 9000",Foreestelaan 1,Ghent 9000,Ghent,9000
Craftworkz,https://www.craftworkz.co/,Flanders,"Gaston Geenslaan 11, 3001 Leuven",Gaston Geenslaan 11,3001 Leuven,3001,Leuven
FaqBot,http://www.faqbot.co,Wallonia,"Chau. de Bruxelles 408, 1300 Wavre",Chau. de Bruxelles 408,1300 Wavre,1300,Wavre
Lawren.io,http://lawren.io,Flanders,"Sint-Pietersvliet 7, 2000 Antwerpen",Sint-Pietersvliet 7,2000 Antwerpen,2000,Antwerpen
LiNGUiNEO,http://www.linguineo.com,Flanders,"Schipvaartstraat 24 / 407, 3000 Leuven",Schipvaartstraat 24 / 407,3000 Leuven,3000,Leuven
Metachat,http://metachat.com,Flanders,,nan,nan,nan,
Oakwood,https://oakwood.global/,Flanders,,nan,nan,nan,
OSWALD,https://www.oswald.ai/,Flanders,"Veldkant 33 A, 2550 Kontich",Veldkant 33 A,2550 Kontich,2550,Kontich
Pharmabot,https://pharmacistbot.herokuapp.com/,Brussels,,nan,nan,nan,
Acapela Group,https://www.acapela-group.com/,Wallonia,"Bd Dolez 33, 7000 Mons",Bd Dolez 33,7000 Mons,7000,Mons
Avantopy,http://avantopy.com,Flanders,"Albert Stainierstraat 4, 3001 Leuven",Albert Stainierstraat 4,3001 Leuven,3001,Leuven
Iris,https://irisprosolutions.com/,Flanders,"Heussstraße 23, 52078 Aachen, Duitsland",Heussstraße 23,"52078 Aachen, Duitsland",52078,"Aachen, Duitsland"
Mentis,https://thingks.io/,Brussels,"Osloweg 1, 9723 BE Groningen, Nederland",Osloweg 1,"9723 BE Groningen, Nederland",9723,"BE Groningen, Nederland"
NLP Town,https://www.nlp.town/,Flanders,"Lange Lostraat 11, 3212 Lubbeek",Lange Lostraat 11,3212 Lubbeek,3212,Lubbeek
Say It Labs,http://www.sayitlabs.com,Flanders,"Domeinstraat 58, 3010 Leuven",Domeinstraat 58,3010 Leuven,3010,Leuven
SmartSpoken,http://www.thecofoundry.co/investments-1/2016/12/29/smartspoken,Flanders,"Lange Gasthuisstraat 29, 2000 Antwerpen",Lange Gasthuisstraat 29,2000 Antwerpen,2000,Antwerpen
Textgain,http://www.textgain.com,Flanders,"Lodewijk van Berckenlaan 180/2, 2140 Antwerpen",Lodewijk van Berckenlaan 180/2,2140 Antwerpen,2140,Antwerpen
ThinkNext,http://www.thinknext.be,Flanders,"Minderbroedersstraat 17/2, 3000 Leuven",Minderbroedersstraat 17/2,3000 Leuven,3000,Leuven
Winston Analytics,http://www.winston-analytics.com,Flanders,"Holstraat 44, 9000 Gent",Holstraat 44,9000 Gent,9000,Gent
Acic,http://www.acic.eu/fr/,Wallonia,"Bd Initialis 28, 7000 Mons",Bd Initialis 28,7000 Mons,7000,Mons
Crodeon Tech.,https://www.crodeon.com/,Flanders,"Technologiepark-Zwijnaarde 82, 9052 Gent",Technologiepark-Zwijnaarde 82,9052 Gent,9052,Gent
EMDYN,https://www.emdyn.com/,Flanders,"Gaston Crommenlaan 8, 9050 Gent",Gaston Crommenlaan 8,9050 Gent,9050,Gent
Engine27,http://www.engine27.be,Flanders,"Generaal Armstrongweg 1, 2020 Antwerpen",Generaal Armstrongweg 1,2020 Antwerpen,2020,Antwerpen
