Company Name,Link,Region,Address,Street,Location,ZipCode,City,gcode,Latitude,Longitude
Asylia Diagnostics,https://www.asyliadx.com/,Flanders,"Turnhoutseweg 30, 2340 Beerse, Belgium",Turnhoutseweg 30,2340 Beerse,2340,Beerse,"A560, 30, Turnhoutseweg, Beerse, Turnhout, Antwerpen, Vlaanderen, 2340, België / Belgique / Belgien",51.3113239,4.867664135810617
Aurelis,https://aurelis.org/,Flanders,"Oude Godstraat 200, 2650 Edegem, Belgium",Oude Godstraat 200,2650 Edegem,2650,Edegem,"200, Oude Godstraat - Oude-Godstraat, Edegem, Antwerpen, Vlaanderen, 2650, België / Belgique / Belgien",51.1656943,4.4441521
Avalasia,http://www.avalasia.com,Flanders,"Bruggestraat 112, 8930 Menen, Belgium",Bruggestraat 112,8930 Menen,8930,Menen,"112, Bruggestraat, Menen, Kortrijk, West-Vlaanderen, Vlaanderen, 8930, België / Belgique / Belgien",50.79950555,3.122856226707337
Axiles Bionics,http://www.axilesbionics.com,Brussels,"Raketstraat 64, 1130 Brussel, Belgium",Raketstraat 64,1130 Brussel,1130,Brussel,"64, Rue de la Fusée - Raketstraat, Haren, Ville de Bruxelles - Stad Brussel, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1130, België / Belgique / Belgien",50.8789019,4.4200739
Axinesis,http://www.axinesis.com,Wallonia,"Av. Sabin 3, 1300 Wavre, Belgium",Av. Sabin 3,1300 Wavre,1300,Wavre,"Axinexis, 3, Avenue Sabin, Wavre, Nivelles, Brabant wallon, Wallonie, 1300, België / Belgique / Belgien",50.7394066,4.6132607
Bartanel,http://bartanel.com,Flanders,"Turnhoutsebaan 139, 2140 Antwerpen, Belgium",Turnhoutsebaan 139,2140 Antwerpen,2140,Antwerpen,"Eco-café, 139,139A, Turnhoutsebaan, Borgerhout Intra Muros, Borgerhout, Antwerpen, Vlaanderen, 2140, België / Belgique / Belgien",51.215311,4.4344696
Bingli,http://www.mybingli.com,Flanders,"Lange Gasthuisstraat 29/12, 2000 Antwerpen, Belgium",Lange Gasthuisstraat 29/12,2000 Antwerpen,2000,Antwerpen,"Lange Gasthuisstraat, Wilde Zee, Antwerpen, Vlaanderen, 2000, België / Belgique / Belgien",51.2160317,4.4047926
BioClue,http://www.bioclue.eu,Flanders,"Fabriekstraat 7, 3930 Hamont, Belgium",Fabriekstraat 7,3930 Hamont,3930,Hamont,,,
BioLizard,https://lizard.bio/,Flanders,"Martelaarslaan 408, 9000 Ghent, Belgium",Martelaarslaan 408,9000 Ghent,9000,Ghent,"408, Martelaarslaan, Papegaai, Gent, Oost-Vlaanderen, Vlaanderen, 9000, België / Belgique / Belgien",51.048752199999996,3.7094212431623896
BioStrand,https://www.biostrand.be/,Flanders,"Agoralaan Abis, 3590 Diepenbeek, Belgium",Agoralaan Abis,3590 Diepenbeek,3590,Diepenbeek,,,
BT Clinical Computing,http://www.btclinicalcomputing.com,Wallonia,"Avenue Paul Pastur 361 bte 6, 6032 Charleroi, Belgium",Avenue Paul Pastur 361 bte 6,6032 Charleroi,6032,Charleroi,,,
CluePoints,http://cluepoints.com,Wallonia,"New Tech Center Av. Albert Einstein 2a, 1348 Ottignies-Louvain-la-Neuve, Belgium",New Tech Center Av. Albert Einstein 2a,1348 Ottignies-Louvain-la-Neuve,1348,Ottignies-Louvain-la-Neuve,,,
Creative Therapy,https://www.mycreativetherapy.com/#pll_switcher,Flanders,"Derbystraat, 9051 Gent, Belgium",Derbystraat,9051 Gent,9051,Gent,"Derbystraat, Maalte, Sint-Denijs-Westrem, Gent, Oost-Vlaanderen, Vlaanderen, 9051, België / Belgique / Belgien",51.0235699,3.6949085
DEO,https://deo.care/,Flanders,"Da Vincilaan 1, 1930 Zaventem, Belgium",Da Vincilaan 1,1930 Zaventem,1930,Zaventem,,,
Digital Orthopaedics,http://www.digital-orthopaedics.com,Wallonia,"Rue Emile Francqui 1, 1435 Mont-Saint-Guibert, Belgium",Rue Emile Francqui 1,1435 Mont-Saint-Guibert,1435,Mont-Saint-Guibert,"Emisys (SPRL), 1, Rue Émile Francqui, Parc Einstein, Corbais, Mont-Saint-Guibert, Nivelles, Brabant wallon, Wallonie, 1435, België / Belgique / Belgien",50.6568904,4.6240317
DNAlytics,http://dnalytics.com,Wallonia,"Centre Monnet Av. Jean Monnet, 1348 Ottignies-Louvain-la-Neuve, Belgium",Centre Monnet Av. Jean Monnet,1348 Ottignies-Louvain-la-Neuve,1348,Ottignies-Louvain-la-Neuve,,,
EarlyTracks,https://www.earlytracks.com/,Brussels,"Sint-Pieterssteenweg 260, 1040 Bruxelles, Belgium",Sint-Pieterssteenweg 260,1040 Bruxelles,1040,Bruxelles,"260, Chaussée Saint-Pierre - Sint-Pieterssteenweg, Etterbeek, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1040, België / Belgique / Belgien",50.83758555,4.393889469091224
Ectosense,https://www.ectosense.com/,Flanders,"De Hoorn Sluisstraat 79/00.01, 3000 Leuven, Belgium",De Hoorn Sluisstraat 79/00.01,3000 Leuven,3000,Leuven,,,
emma.health,http://emma.health,Flanders,"Ottergemsesteenweg Zuid 808C/bus 12, 9000 Gent, Belgium",Ottergemsesteenweg Zuid 808C/bus 12,9000 Gent,9000,Gent,,,
Enpy,http://www.enpy.com,Brussels,"Louizalaan 65/11, 1050 Elsene, Belgium",Louizalaan 65/11,1050 Elsene,1050,Elsene,,,
Epcon,http://www.epcon.ai,Flanders,"Sint-Pietersvliet 7, 2000 Antwerpen, Belgium",Sint-Pietersvliet 7,2000 Antwerpen,2000,Antwerpen,"SyncTrace buitendienstoptimalisatie, 7, Sint-Pietersvliet, Schipperskwartier, Antwerpen, Vlaanderen, 2000, België / Belgique / Belgien",51.225451,4.4009405
Epihunter,https://www.epihunter.com/,Flanders,"Corda Campus Kempische Steenweg 303/200, 3500 Hasselt, Belgium",Corda Campus Kempische Steenweg 303/200,3500 Hasselt,3500,Hasselt,,,
Epilog,http://www.epilog.care,Flanders,"Vlasgaardstraat 52, 9000 Gent, Belgium",Vlasgaardstraat 52,9000 Gent,9000,Gent,"Gig & Grow, 52, Vlasgaardstraat, Brugse Poort, Gent, Oost-Vlaanderen, Vlaanderen, 9000, België / Belgique / Belgien",51.056625,3.7009332
FluidDA,https://www.fluidda.com/,Flanders,"Groeningenlei 132, 2550 Kontich, Belgium",Groeningenlei 132,2550 Kontich,2550,Kontich,"132, Groeningenlei, Kontich, Antwerpen, Vlaanderen, 2550, België / Belgique / Belgien",51.14347735,4.412454683622572
Gabi Smartcare,https://gabismartcare.com/,Wallonia,"Rue Emile Francqui 6 2nd Floor, 1435 Mont-Saint-Guibert, Belgium",Rue Emile Francqui 6 2nd Floor,1435 Mont-Saint-Guibert,1435,Mont-Saint-Guibert,,,
Genae,https://www.genae.com/,Flanders,"Justitiestraat 6, 2018 Antwerpen, Belgium",Justitiestraat 6,2018 Antwerpen,2018,Antwerpen,"6, Justitiestraat, Theaterbuurt, Antwerpen, Vlaanderen, 2018, België / Belgique / Belgien",51.209587150000004,4.406989861521847
HeartKinetics,https://heartkinetics.com/fr/,Wallonia,"Drève Richelle 161/57/Building M, 1410 Waterloo, Belgium",Drève Richelle 161/57/Building M,1410 Waterloo,1410,Waterloo,,,
Hippocreates,http://www.hippocreates.be/,Flanders,"Ter Heidelaan 95A, 3200 Aarschot, Belgium",Ter Heidelaan 95A,3200 Aarschot,3200,Aarschot,"95A, Ter Heidelaan, Aarschot, Leuven, Vlaams-Brabant, Vlaanderen, 3200, België / Belgique / Belgien",50.99130455,4.814378976194906
IBA,https://iba-worldwide.com/,Wallonia,"Chem. du Cyclotron 3, 1348 Ottignies-Louvain-la-Neuve, Belgium",Chem. du Cyclotron 3,1348 Ottignies-Louvain-la-Neuve,1348,Ottignies-Louvain-la-Neuve,,,
icoMetrix,http://www.icometrix.com,Flanders,"Kolonel Begaultlaan 1b, 3012 Leuven, Belgium",Kolonel Begaultlaan 1b,3012 Leuven,3012,Leuven,"Kolonel Begaultlaan, Wilsele, Leuven, Vlaams-Brabant, Vlaanderen, 3012, België / Belgique / Belgien",50.9007671,4.7063342
Innovation Sprint,https://innovationsprint.eu/,Brussels,"Clos Chapelle-aux-Champs 30 bte 1.30.30, 1200 Brussels, Belgium",Clos Chapelle-aux-Champs 30 bte 1.30.30,1200 Brussels,1200,Brussels,,,
Lindacare,https://lindacare.com/,Flanders,"Grauwmeer 1/41, 3001 Leuven, Belgium",Grauwmeer 1/41,3001 Leuven,3001,Leuven,"Grauwmeer, Leuvens Haasrode, Leuven, Vlaams-Brabant, Vlaanderen, 3001, België / Belgique / Belgien",50.8471472,4.7193573
Lopos,https://www.lopos.be/,Flanders,"Ottergemsesteenweg Zuid 808, 9000 Gent, Belgium",Ottergemsesteenweg Zuid 808,9000 Gent,9000,Gent,"Ghelamco Arena, 808, Ottergemsesteenweg-Zuid, Gent, Oost-Vlaanderen, Vlaanderen, 9000, België / Belgique / Belgien",51.01607545,3.7325262840243267
Lynxcare,http://lynxcare.be,Flanders,"Tiensevest 132, 3000 Leuven, Belgium",Tiensevest 132,3000 Leuven,3000,Leuven,"Ethias, 132, Tiensevest, Sint-Maartensdal, Leuven, Vlaams-Brabant, Vlaanderen, 3000, België / Belgique / Belgien",50.8763425,4.7149751
Minze health,https://minzehealth.com/,Flanders,"Offerandestraat 1, 2060 Antwerpen, Belgium",Offerandestraat 1,2060 Antwerpen,2060,Antwerpen,"1-3, Offerandestraat, Seefhoek, Antwerpen, Vlaanderen, 2060, België / Belgique / Belgien",51.21969155,4.423555728680404
Molecubes,http://molecubes.com,Flanders,"Ottergemsesteenweg Zuid 808 bus 325, 9000 Gent, Belgium",Ottergemsesteenweg Zuid 808 bus 325,9000 Gent,9000,Gent,,,
Mona,https://mona.health/,Flanders,"Business Brewery N.V. Interleuvenlaan 62, 3001 Leuven, Belgium",Business Brewery N.V. Interleuvenlaan 62,3001 Leuven,3001,Leuven,,,
Mynutia,http://www.mynutia.com,Flanders,"Celestijnenlaan 300, 3001 Leuven, Belgium",Celestijnenlaan 300,3001 Leuven,3001,Leuven,"Interconfessional Prayer Room, 300, Celestijnenlaan, Heverlee, Leuven, Vlaams-Brabant, Vlaanderen, 3001, België / Belgique / Belgien",50.8634702,4.6794359
Nischala Tech.,https://www.nischalatech.com/,Flanders,"Wilrijk, 2610 Antwerp, Belgium",Wilrijk,2610 Antwerp,2610,Antwerp,"Wilrijk, Antwerpen, Vlaanderen, 2610, België / Belgique / Belgien",51.1700864,4.3942577
OncoDNA,http://www.oncoshare.com,Wallonia,"Rue Louis Breguet 1, 6041 Gosselies, Belgium",Rue Louis Breguet 1,6041 Gosselies,6041,Gosselies,"OncoDNA, 1, Rue Louis Breguet, Aéropole, Gosselies, Charleroi, Hainaut, Wallonie, 6041, België / Belgique / Belgien",50.4736323,4.471043319523942
Oncoradiomics,http://www.oncoradiomics.com,Wallonia,"Clos Chanmurly 13, 4000 Liège, Belgium",Clos Chanmurly 13,4000 Liège,4000,Liège,"1Spatial, 13, Clos Chanmurly, Cointe, Liège, Wallonie, 4000, België / Belgique / Belgien",50.6200466,5.5632114
Ontoforce,http://www.ontoforce.com,Flanders,"Moutstraat 108, 9000 Gent, Belgium",Moutstraat 108,9000 Gent,9000,Gent,"82;84;86;88;90;92;94;96;98;100;102;104;106;108;110;112;114;116;118;120;122;124;126;128;130;132;134;136;138;140;142, Moutstraat, Ottergemse Dries, Gent, Oost-Vlaanderen, Vlaanderen, 9000, België / Belgique / Belgien",51.030359250000004,3.737901372467958
Ovizio,https://ovizio.com/,Brussels,"Kersbeeklaan 306, 1180 Ukkel, Belgium",Kersbeeklaan 306,1180 Ukkel,1180,Ukkel,"Avenue Kersbeek - Kersbeeklaan, Neerstalle, Uccle - Ukkel, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1180, België / Belgique / Belgien",50.7999269,4.3234271
Partheas,https://partheas.com/,Flanders,"Sint Jorisstraat 17A, 9300 Aalst, Belgium",Sint Jorisstraat 17A,9300 Aalst,9300,Aalst,"17;17A, Sint-Jorisstraat, Aalst, Oost-Vlaanderen, Vlaanderen, 9300, België / Belgique / Belgien",50.9373511,4.038499315569203
Phasya,https://www.phasya.com/en,Wallonia,"Rue du Bois Saint-Jean 29, 4102 Seraing, Belgium",Rue du Bois Saint-Jean 29,4102 Seraing,4102,Seraing,"29, Rue du Bois Saint-Jean, Liège Science-Park, Seraing, Liège, Wallonie, 4102, België / Belgique / Belgien",50.5949315,5.562088883030253
ProteoFormiX,https://www.proteoformix.com/,Flanders,"Janssen Pharmaceutica Campus Turnhoutseweg 30, 2340 Beerse, Belgium",Janssen Pharmaceutica Campus Turnhoutseweg 30,2340 Beerse,2340,Beerse,,,
Qaelum,https://qaelum.com/,Flanders,"Gaston Geenslaan 9, 3001 Leuven, Belgium",Gaston Geenslaan 9,3001 Leuven,3001,Leuven,"Gaston Geenslaan, Wetenschapspark Arenberg, Heverlee, Leuven, Vlaams-Brabant, Vlaanderen, 3001, België / Belgique / Belgien",50.8664798,4.6736309
Qompium,https://www.fibricheck.com/,Flanders,"Corda Campus Kempische Steenweg 303/27, 3500 Hasselt, Belgium",Corda Campus Kempische Steenweg 303/27,3500 Hasselt,3500,Hasselt,,,
QuantaCorp,http://www.QuantaCorp.io,Flanders,"Amelia Earhartlaan 17, 9051 Gent, Belgium",Amelia Earhartlaan 17,9051 Gent,9051,Gent,"Planet Business Center, 17, Amelia Earhartlaan, Sint-Denijs-Westrem, Gent, Oost-Vlaanderen, Vlaanderen, 9051, België / Belgique / Belgien",51.03080695,3.691720455620609
Relu,http://relu.eu,Flanders,"Kapeldreef 60, 3001 Leuven, Belgium",Kapeldreef 60,3001 Leuven,3001,Leuven,"Innovatie- en Incubatiecentrum, 60, Kapeldreef, Heverlee, Leuven, Vlaams-Brabant, Vlaanderen, 3001, België / Belgique / Belgien",50.862076650000006,4.671562473993301
Rombit,http://rombit.com,Flanders,"Meir 30, 2000 Antwerpen, Belgium",Meir 30,2000 Antwerpen,2000,Antwerpen,"Primark, 28-30, Meir, Wilde Zee, Antwerpen, Vlaanderen, 2000, België / Belgique / Belgien",51.2179261,4.4067795
Saana,https://saana.co/,Brussels,"Rue du Commerce 31, 1000 Bruxelles, Belgium",Rue du Commerce 31,1000 Bruxelles,1000,Bruxelles,"31, Rue du Commerce - Handelsstraat, Bruxelles - Brussel, Ville de Bruxelles - Stad Brussel, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, België / Belgique / Belgien",50.8408804,4.3680657
Savics,http://www.savics.org,Brussels,"Gemeentelijk Godshuisstraat 6, 1170 Watermaal-Bosvoorde, Belgium",Gemeentelijk Godshuisstraat 6,1170 Watermaal-Bosvoorde,1170,Watermaal-Bosvoorde,,,
Simpl,http://www.logiciel-crm.be/,Wallonia,"48 rue des Martyrs, 4800 Verviers, Belgium",48 rue des Martyrs,4800 Verviers,4800,Verviers,"48, Rue des Martyrs, Verviers, Liège, Wallonie, 4800, België / Belgique / Belgien",50.59131175,5.86300942548478
Sneezz,https://sneezz.be/,Flanders,"Kroonstraat 31, 3840 Limburg, Belgium",Kroonstraat 31,3840 Limburg,3840,Limburg,"Kroonstraat, Borgloon, Tongeren, Limburg, Vlaanderen, 3840, België / Belgique / Belgien",50.8025693,5.3449945
Spectricity,http://spectricity.com,Flanders,"Stationsstraat 55, 2800 Mechelen, Belgium",Stationsstraat 55,2800 Mechelen,2800,Mechelen,"Bar Marie, 55, Stationsstraat, Mechelen, Antwerpen, Vlaanderen, 2800, België / Belgique / Belgien",51.0166339,4.480612
Spentys,http:// https://www.spentys.com/,Brussels,"Sint-Denijsstraat 120, 1190 Vorst, Belgium",Sint-Denijsstraat 120,1190 Vorst,1190,Vorst,"120, Rue Saint-Denis - Sint-Denijsstraat, Forest - Vorst, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1190, België / Belgique / Belgien",50.8165218,4.3196074
Strong Supplies,http://strong.supplies,Flanders,"Waalkens 11C, 9000 Gent, Belgium",Waalkens 11C,9000 Gent,9000,Gent,"Waalkens, Vijfhoek, Mariakerke, Gent, Oost-Vlaanderen, Vlaanderen, 9030, België / Belgique / Belgien",51.0888611,3.6793763
Sunrise,http://www.sunrise-sleep.com,Wallonia,"Chau. de Marche 598/02, 5101 Namur, Belgium",Chau. de Marche 598/02,5101 Namur,5101,Namur,,,
TELEMIS,http://www.telemis.com,Wallonia,"Av. Athéna 2, 1348 Ottignies-Louvain-la-Neuve, Belgium",Av. Athéna 2,1348 Ottignies-Louvain-la-Neuve,1348,Ottignies-Louvain-la-Neuve,"Avenue Athéna, Parc Athena, Louvain-la-Neuve, Ottignies-Louvain-la-Neuve, Nivelles, Brabant wallon, Wallonie, 1348, België / Belgique / Belgien",50.6757469,4.6113451
The Medical Cloud Company,http://www.medicalcloudcompany.com,Wallonia,"Clos Chanmurly 13, 4000 Liège, Belgium",Clos Chanmurly 13,4000 Liège,4000,Liège,"1Spatial, 13, Clos Chanmurly, Cointe, Liège, Wallonie, 4000, België / Belgique / Belgien",50.6200466,5.5632114
Vitamin.ai,https://vitamin-ai.com,Flanders,"Frans De Cortlaan 3 bus 1, 2610 Antwerp, Belgium",Frans De Cortlaan 3 bus 1,2610 Antwerp,2610,Antwerp,"Frans De Cortlaan, Wilrijk, Antwerpen, Vlaanderen, 2610, België / Belgique / Belgien",51.1776453,4.3951687
Xperthis,http://www.xperthis.be,Brussels,"Boulevard Bischoffsheim 15, 1000 Bruxelles, Belgium",Boulevard Bischoffsheim 15,1000 Bruxelles,1000,Bruxelles,"15, Boulevard Bischoffsheim - Bischoffsheimlaan, Bruxelles - Brussel, Ville de Bruxelles - Stad Brussel, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, België / Belgique / Belgien",50.8501762,4.3683072
Yoboo,https://www.yoboo.health/nl/home,Flanders,"Quellinstraat 12/6, 2800 Antwerpen, Belgium",Quellinstraat 12/6,2800 Antwerpen,2800,Antwerpen,"Quellinstraat, Statiekwartier, Antwerpen, Vlaanderen, 2018, België / Belgique / Belgien",51.215092,4.415681
Alberts,http://alberts.be,Flanders,"Bijkhoevelaan 32c, 2110 Wijnegem, Belgium",Bijkhoevelaan 32c,2110 Wijnegem,2110,Wijnegem,"Toshiba, 32,32A,32B,32C, Bijkhoevelaan, Wijnegem Zone 1 - Den Hoek, Wijnegem, Antwerpen, Vlaanderen, 2110, België / Belgique / Belgien",51.2309852,4.495288398339908
Ampacimon,http://www.ampacimon.com/,Wallonia,"Rue de Wallonie 11, 4460 Grâce-Hollogne, Belgium",Rue de Wallonie 11,4460 Grâce-Hollogne,4460,Grâce-Hollogne,"TH Trucks Liège, 11, Rue de Wallonie, Zoning industriel de Grâce-Hollogne, Grâce-Hollogne, Liège, Wallonie, 4460, België / Belgique / Belgien",50.650440849999995,5.482877377586311
Ask Attis,http://www.askattis.com,Flanders,"Beersebaan 76, 2310 Rijkevorsel, Belgium",Beersebaan 76,2310 Rijkevorsel,2310,Rijkevorsel,"76, Beersebaan, Rijkevorsel, Turnhout, Antwerpen, Vlaanderen, 2310, België / Belgique / Belgien",51.33861585,4.7904949057919435
Blacklight Analytics,https://www.blacklight-analytics.com/,Wallonia,"Rue du Bois Saint-Jean, 4102 Seraing, Belgium",Rue du Bois Saint-Jean,4102 Seraing,4102,Seraing,"Rue du Bois Saint-Jean, Liège Science-Park, Seraing, Liège, Wallonie, 4102, België / Belgique / Belgien",50.5919386,5.5584437
Building IQ,https://www.b-iq.be/nl,Flanders,"Oostlaan 5, 8560 Gullegem, Belgium",Oostlaan 5,8560 Gullegem,8560,Gullegem,"Electro Entreprise, 5, Oostlaan, Gullegem, Wevelgem, Kortrijk, West-Vlaanderen, Vlaanderen, 8560, België / Belgique / Belgien",50.8542805,3.185140703277937
BUILDWIND,http://www.buildwind.net,Brussels,"Barastraat 175, 1070 Bruxelles, Belgium",Barastraat 175,1070 Bruxelles,1070,Bruxelles,"The Egg, 175, Rue Bara - Barastraat, Cureghem - Kuregem, Anderlecht, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1070, België / Belgique / Belgien",50.8331413,4.3269748526218486
byNubian,https://www.bynubian.com/fr/,Flanders,"Coupure Rechts 64D, 9000 Gent, Belgium",Coupure Rechts 64D,9000 Gent,9000,Gent,"Coupure Rechts, Papegaai, Gent, Oost-Vlaanderen, Vlaanderen, 9000, België / Belgique / Belgien",51.0535731,3.7098797
Dapesco,https://www.dapesco.com/fr/,Wallonia,"Rue Granbonpré 4, 1348 Ottignies-Louvain-la-Neuve, Belgium",Rue Granbonpré 4,1348 Ottignies-Louvain-la-Neuve,1348,Ottignies-Louvain-la-Neuve,,,
Enervalis,http://www.enervalis.com,Flanders,"Lummense Kiezel 51, 3510 Hasselt, Belgium",Lummense Kiezel 51,3510 Hasselt,3510,Hasselt,"51A;51C, Lummense Kiezel, Kermt, Hasselt, Limburg, Vlaanderen, 3510, België / Belgique / Belgien",50.9530048,5.242376760055454
Ethernetics,http://ethernetics.tech,Flanders,"Antwerpse Steenweg 19, 9080 Lochristi, Belgium",Antwerpse Steenweg 19,9080 Lochristi,9080,Lochristi,"Idola Bussiness Center, 19, Antwerpse Steenweg, Lochristi, Gent, Oost-Vlaanderen, Vlaanderen, 9080, België / Belgique / Belgien",51.0923688,3.8201265
Foodpairing,https://www.foodpairing.com/fr/home,Flanders,"Ottergemsesteenweg Zuid 808, 9000 Gent, Belgium",Ottergemsesteenweg Zuid 808,9000 Gent,9000,Gent,"Ghelamco Arena, 808, Ottergemsesteenweg-Zuid, Gent, Oost-Vlaanderen, Vlaanderen, 9000, België / Belgique / Belgien",51.01607545,3.7325262840243267
Hyler,http://www.hyler.be/,Flanders,"Vijvedreef 54, 8710 Wielsbeke, Belgium",Vijvedreef 54,8710 Wielsbeke,8710,Wielsbeke,"54, Vijvedreef, Sint-Baafs-Vijve, Wielsbeke, Tielt, West-Vlaanderen, Vlaanderen, 8710, België / Belgique / Belgien",50.92480365,3.4025965005826206
IPBuilding,https://www.ipbuilding.be/,Flanders,"Ninovesteenweg 196, 9320 Aalst, Belgium",Ninovesteenweg 196,9320 Aalst,9320,Aalst,"196, Ninovesteenweg, Erembodegem, Aalst, Oost-Vlaanderen, Vlaanderen, 9320, België / Belgique / Belgien",50.915641550000004,4.04476039737148
LAMMP,https://lammp.be/,Flanders,"Mechelsesteenweg 271/bus 2.1, 2018 Antwerpen, Belgium",Mechelsesteenweg 271/bus 2.1,2018 Antwerpen,2018,Antwerpen,,,
Memoco,https://memoco.eu/,Wallonia,"Rue de Rodeuhaie 6, 1348 Ottignies-Louvain-la-Neuve, Belgium",Rue de Rodeuhaie 6,1348 Ottignies-Louvain-la-Neuve,1348,Ottignies-Louvain-la-Neuve,"Rue de Rodeuhaie, Biéreau, Louvain-la-Neuve, Ottignies-Louvain-la-Neuve, Nivelles, Brabant wallon, Wallonie, 1348, België / Belgique / Belgien",50.6602617,4.6171626
Opinum,https://www.opinum.com/fr,Wallonia,"Rue Emile Francqui 9, 1435 Mont-Saint-Guibert, Belgium",Rue Emile Francqui 9,1435 Mont-Saint-Guibert,1435,Mont-Saint-Guibert,"9, Rue Émile Francqui, Parc Einstein, Corbais, Mont-Saint-Guibert, Nivelles, Brabant wallon, Wallonie, 1435, België / Belgique / Belgien",50.659001700000005,4.6232837829877464
SoundTalks,http://www.soundtalks.be,Flanders,"Interleuvenlaan 15 C, 3001 Leuven, Belgium",Interleuvenlaan 15 C,3001 Leuven,3001,Leuven,"15C, Interleuvenlaan, Leuvens Haasrode, Leuven, Vlaams-Brabant, Vlaanderen, 3001, België / Belgique / Belgien",50.847551949999996,4.731597899999999
Strategic Water,http://strategicwater.be,Flanders,"Gaston Crommenlaan 8, 9050 Gent, Belgium",Gaston Crommenlaan 8,9050 Gent,9050,Gent,"Arcadis, 8, Gaston Crommenlaan, Bellevue, Ledeberg, Gent, Oost-Vlaanderen, Vlaanderen, 9050, België / Belgique / Belgien",51.0369658,3.735595
Sumaqua,http://www.sumaqua.be,Flanders,"Sluisstraat 79 b3.01, 3000 Leuven, Belgium",Sluisstraat 79 b3.01,3000 Leuven,3000,Leuven,,,
The Kobi Company,http://thekobi.com,Flanders,"Ambachtenlaan 7C, 3001 Leuven, Belgium",Ambachtenlaan 7C,3001 Leuven,3001,Leuven,"Ambachtenlaan, Leuvens Haasrode, Leuven, Vlaams-Brabant, Vlaanderen, 3001, België / Belgique / Belgien",50.8489688,4.7192648
Toadi,http://www.toadi.com,Flanders,"Eugène Bekaertlaan 61, 8790 Waregem, Belgium",Eugène Bekaertlaan 61,8790 Waregem,8790,Waregem,"61, Eugène Bekaertlaan, Zone 2 Vijverdam, Waregem, Kortrijk, West-Vlaanderen, Vlaanderen, 8790, België / Belgique / Belgien",50.86813935000001,3.4389302169499043
WeSmart,http://www.wesmart.com,Brussels,"Dieudonné Lefèvrestraat 17, 1020 Brussel, Belgium",Dieudonné Lefèvrestraat 17,1020 Brussel,1020,Brussel,"17, Rue Dieudonné Lefèvre - Dieudonné Lefèvrestraat, Laeken - Laken, Ville de Bruxelles - Stad Brussel, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1020, België / Belgique / Belgien",50.8705127,4.3510053
Aividens,http://www.aividens.com,Brussels,"Vrijwilligerslaan 19, 1160 Oudergem, Belgium",Vrijwilligerslaan 19,1160 Oudergem,1160,Oudergem,"Avenue des Volontaires - Vrijwilligerslaan, Auderghem - Oudergem, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1160, België / Belgique / Belgien",50.8269958,4.4042457
Automated Analytics,http://automatedanalytics.eu,Flanders,"Frans de Cortlaan 3/bus 1, 2610 Antwerpen, Belgium",Frans de Cortlaan 3/bus 1,2610 Antwerpen,2610,Antwerpen,"Frans De Cortlaan, Wilrijk, Antwerpen, Vlaanderen, 2610, België / Belgique / Belgien",51.1776453,4.3951687
Booqee,http://www.booqee.com,Brussels,"Gentbrugge kouter 5, 9050 Gent, Belgium",Gentbrugge kouter 5,9050 Gent,9050,Gent,,,
CashForce,http://www.discover-edge.com,Flanders,"Diamantstraat, 2018 Antwerpen, Belgium",Diamantstraat,2018 Antwerpen,2018,Antwerpen,"Diamantstraat, Brederode, Antwerpen, Vlaanderen, 2018, België / Belgique / Belgien",51.2050466,4.3965284
Complidata,http://complidata.io,Flanders,"Oppemstraat 13, 3080 Tervuren, Belgium",Oppemstraat 13,3080 Tervuren,3080,Tervuren,"13, Oppemstraat, Tervuren, Leuven, Vlaams-Brabant, Vlaanderen, 3080, België / Belgique / Belgien",50.82527595,4.508404925282303
Contract.fit,http://contract.fit,Flanders,"Rue des Poissonniers 13, 1000 Brussels, Belgium",Rue des Poissonniers 13,1000 Brussels,1000,Brussels,"13, Rue des Poissonniers - Visverkopersstraat, Quartier Saint-Géry - Sint-Gorikswijk, Pentagone - Vijfhoek, Bruxelles - Brussel, Ville de Bruxelles - Stad Brussel, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, België / Belgique / Belgien",50.849272,4.3482408
